job,salary,company,description,belong,experience,edu,address,address_detail
2年以上PHP讲师（双休 提供住宿）,8千-1.2万,安徽我要学计算机教育服务有限公司,"熟悉HTML5+CSS3+JAVASCRIPT,熟悉PHP,熟悉THINKPHP,YII等其中一种框架，熟悉LAMP环境搭建，熟悉REDIS,熟悉MYSQL,熟悉MYSQL主从，读写分离优先。",互联网/电子商务 ,3-5年,本科,合肥,合肥市包河区滨湖新区万达银座A栋302
JAVA技术经理,1万-2万,安徽伊克莫斯电子商务有限公司,1、国家正规院校大学本科或以上学历，计算机或相关专业毕业；2、4年以上实际JAVA项目开发实施工作经验；具有丰富J2EE架构设计经验，深入了解三层结构并具备实际工作经验，熟悉Struts，Hibernate，Spring等主流框架；3、精通java编程、设计模式和组件技术，熟悉关系型数据库和面向对象思想，熟悉TCP/IP/WebService、SOAP/网络安全技术；4、熟练掌握数据库Oracle、Sybase、SQLServer中至少一种，能够熟练进行编程，拥有优秀的数据库设计能力；5、熟练使用PowerDesigner、VISIO等工具，有两个以上产品设计、实施经验；6、熟悉LINUX，UNIX操作系统编程；7、熟练使用maven，具有一年以上带队经验8、具有良好的文档编写习惯，能承受较大的工作压力；9、具有强烈的工作责任心、有良好的沟通能力和团队合作精神、承压能力；10、喜欢研究新技术，善于思考，有上进心，时间管理能力强；11、思路清晰，善于思考，能独立分析和解决问题12，我们招的不只是一名技术经理，招的更是一名创业合作伙伴。,互联网/电子商务 ,3-5年,本科,合肥,合肥市包河区滨湖区徽州大道与福州路交口千城商业广场1402室
高级java工程师,7千-1.2万,安徽龙讯信息科技有限公司,"【岗位职责】：1、独立设计与开发产品核心组件与功能模块；2、负责对产品进行代码优化和功能优化；3、参与项目关键技术的攻关工作；4、协助团队成员完成相关工作任务；5、参与产品功能升级与设计。【任职要求】：1、全日制本科及以上学历，计算机软件及相关专业；2、3年以上JAVA项目开发经验；3、精通JavaEE相关技术，包括Servlet/JSP、JSON、SpringMVC、Spring、Hibernate等；4、熟悉Oracle或MySql，掌握数据库设计原则并有实际的设计经验；5、熟悉HTML、Javascript、Jquery、XML、CSS等，熟练使用tomcat或jboss；6、有基于WebService的开发经验；7、熟练使用Maven、IDEA、Eclipse开发环境；8、熟练使用UML设计工具,PowerDesigner等；9、熟练使用Redis、mongodb等Nosql数据库；10、熟练掌握和使用设计模式；11、有分布式系统设计开发经验；12、有政府办公OA和和政府网站群设计开发经验优先。",互联网/电子商务 ,3-5年,本科,合肥,合肥市高新区拓基城市广场12F
JAVA技术经理,1万-2万,安徽友汇金融信息咨询服务有限公司,岗位职责：1、负责与客户沟通、收集需求，并能够独立展开系统需求分析和架构设计；2、带领并指导编程人员、测试人员完成项目的开发工作；3、按时向客户及上级领导汇报工作进度；4、参与公司技术团队培养、管理、开发相应技术培训资源。任职要求：1、专科及以上学历，5年以上相关工作经验；2、有团队管理经验、熟悉项目开发流程，具有项目管理或者开发管理经验。福利待遇：转正购买五险一金+工龄奖金+年终奖每周2次下午茶时间员工聚餐定期旅游年节福利生日津贴带薪年假工作时间：9:00—18:00双休联系电话：0551-63360761毕小姐公司附近公交（117、135、150、152、156、163、16、1、41、43）,互联网/电子商务 ,5-10年,大专,合肥,安徽省合肥市包河区南二环与宿松路交口绿地中心A座17楼整层
JAVA高级软件工程师（奖金、双休、五险一金）,6千-1.2万,思创数码科技股份有限公司,"岗位职责1、负责公司产品项目的分析设计及文档编写；2、负责项目的核心模块的功能开发及测试工作；3、承担组内产品模块的深层次业务分析拓展和开发工作；4、为公司新进员工提供技术指导及培训工作；5、完成上级领导分配的其它任务。任职资格1、计算机专业或信息技术专业，全日制统招二本及以上学历；2、至少5年以上JAVA的项目实际开发经验；3、深刻理解面向对象编程理念，具有丰富的UML建模经验；4、精通J2EE开发框架，如Struts2、Spring、Hibernate等,精通相关WEB技术（HTML，JSP、JS、CSS等），至少掌握一种JS框架，如jquery、EasyUI、ext等；5、熟悉WebLogic、WebSphere、Apache或Tomcat至少一种及以上的WEB容器的部署及使用；6、精通Oracle、SQLServer和Mysql的一种或多种数据库；7、思路敏捷清晰，有责任心，工作态度端正、有耐心，能够承受工作压力。",互联网/电子商务 ,5-10年,本科,合肥,合肥市蜀山区潜山路320号新华国际广场C座9层901
java开发（双休+高薪+五险一金+非外包）,1万-1.5万,安徽守株待兔网络科技有限公司,"岗位职责：1、独立处理和解决所负责的开发任务；2、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；3、进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量；4、维护软件使之保持可用性和稳定性；5、参与软件产品项目规划工作，制定具体项目实施方案；6、整合并优化项目开发所需各种资源；7、负责软件开发技术和规范及标准流程的改进。任职要求：1)3年以上Java开发经验，有扎实的Java，jsp基础，了解nosql（redis/memcache）；2)熟练运用SpringMVC，MyBaties等框架以及相关中间件；3)熟悉JAVAEE的规范，熟悉常用的设计模式；4)了解Linux系统常用操作；5)熟悉Nginx,TOMCAT等服务器的使用；6)熟悉主流数据库MySQL的使用，并能就问题提出解决方案及性能优化方案；7)有微信公众号开发经验更佳；薪资面议，待遇优厚。上班时间：8:30~11:30，13:00~17:30员工旅游双休五险一金法定节假日放假节日礼品工作氛围好",互联网/电子商务 ,,学历不限,合肥,瑶海区明光路与长江东大街交口东方商城4F
高薪诚聘Java开发,8千-1.5万,安徽优我同行科技有限公司,岗位职责:1、根据产品需求，独立完成模块的设计方案；2、按照开发规范与流程独立完成模块的编码及相关文档；3、参与项目重点、难点的技术攻坚；任职资格:1、计算机或相关专业专科以上学历，2年及以上Java实际项目开发经验；2、java基础扎实，熟悉常用设计模式及算法；3、熟练使用SQL、SpringMVC、Spring、MyBatis、HTML、CSS、JS、jQuery、Ajax等；4、熟悉SpringCloud、Shrio、Redis、Solr、LESS、SASS、响应式开发、微信开发者优先；5、有承担复杂系统设计相关工作者或者有带团队开发管理工作者优先考虑。备注：我们研发并运营自己的产品，不是项目外包、人力外包型公司。,互联网/电子商务 ,3-5年,学历不限,合肥,蜀山区长江西路与肥西路交口环球中心A座26楼（之心城附近）
PHP研发主管及PHP研发经理,1万-1.8万,上海毅先信息科技有限公司合肥分公司,"岗位职责：1、负责软件产品的功能设计、开发、技术难题攻克；2、编写技术文档、管理文档、协助做好项目管理工作；3、负责公司平台架构和程序开发，接口规范制定；4、数据库设计和编写；5、重构现有架构，优化服务端性能。岗位要求：1、计算机相关专业本科及以上学历，2年及以上服务端开发经验，熟悉PHP实现和工作原理，有PHP扩展开发经验优先；2、掌握HTML,css,javascript前端技术,熟悉ajax技术,熟练使用jQuery或Zepto,会使用vue,angular等SPA框架更优；3、掌握SQL语言,了解Mysql安装配置使用及优化，熟悉memcache、redis、mongodb等常用nosql解决方案，了解各自的优缺点以及使用场景；4、熟悉web开发中的各类缓存站点的优化方案。如Memcache,Redis等；5、熟练掌握Linux的基本操作、apache/nginx/mysql配置、安全、优化等，有服务器性能优化能力；6、善于抽象、总结、思考，对技术有执着追求，有大流量网站建设经验优先；7、了解常用的算法及设计模式；8、有软件架构、服务器架构等方面经验,了解大负载大流量服务器端解决方案；9、有带团队经验,具备良好的团队合作精神；10、能承受大工作量负荷。11、公司提供班车、食堂、住宿（公寓或酒店）、节日福利、五险一金、调休",互联网/电子商务 ,3-5年,学历不限,合肥,上海毅先信息科技有限公司合肥分公司
JAVA高级开发工程师,8千-1.5万,上海智隆信息技术股份有限公司,职位描述：1、项目团队中承担核心开发人员角色，负责系统技术框架的搭建（或运用）和核心模块的开发；2、参与项目的需求调研、系统设计及联调上线工作，参与项目中文档的编写及审核；3、与项目经理及客户之间的日常沟通交流工作；岗位要求：1、计算机或者相关专业，统招全日制专科及以上学历。2、至少3年以上Java三层架构项目的开发经验；担任大型J2EE项目架构设计师或核心开发人员的优先考虑；3、熟悉J2EE技术框架，精通Struts、Spring、Springmvc、Mybatis等技术框架；4、精通Jquery、Ajax等Web前端技术框架，熟练掌握WebService技术框架；5、熟悉Oracle、SQLServer等主流关系型数据库的一种或多种，熟练掌握sql语句编写及优化；6、熟悉WebSphere、Tomcat等主流J2EE中间件，具备一定的系统部署和系统调优能力；7、有redis、memcache、ApacheMQ开发经验者优先考虑；8、有activity工作流开发经验者优先考虑；具体：对activiti工作流基本概念的了解：列如顺序流、条件顺序流，流程定义、流程部署、分支、并行、多人并行处理，多人串行处理，子流程。9、具备较强的沟通交流能力和逻辑思维能力，肯吃苦耐劳，有责任心，有团队精神，乐于帮助同事。,互联网/电子商务 ,3-5年,大专,合肥,外地办事处
JAVA开发 （高薪 双休 急招 五险一金）,8千-1万,安徽展校科技有限公司,"岗位职责：1、独立处理和解决所负责的开发任务；2、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；3、进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量；4、维护软件使之保持可用性和稳定性；5、参与软件产品项目规划工作，制定具体项目实施方案；6、整合并优化项目开发所需各种资源；7、负责软件开发技术和规范及标准流程的改进。任职要求：1)3年以上Java开发经验，有扎实的Java，jsp基础，了解nosql（redis/memcache）；2)熟练运用SpringMVC，MyBaties等框架以及相关中间件；3)熟悉JAVAEE的规范，熟悉常用的设计模式；4)了解Linux系统常用操作；5)熟悉Nginx,TOMCAT等服务器的使用；6)熟悉主流数据库MySQL的使用，并能就问题提出解决方案及性能优化方案；7)有微信公众号开发经验更佳；薪资面议，待遇优厚。非外包公司上班时间：8:30~12:00，14:00~18:00周末双休员工旅游五险一金工作氛围好",互联网/电子商务 ,,学历不限,合肥,合肥市瑶海区长江东大街与明光路交叉口东方商城5楼
前端开发（上市软件公司）L,8千-1.2万,安徽中软软件有限公司,岗位职责：1、3年及以上开发经验，精通JavaSE，熟悉JavaEE各种常用标准及其实现框架；2、熟悉jQuery、AngularJS等js框架，有移动端html5开发经验者优先；3、熟悉SpringMVC、freemarker、iBatis等开源框架；4、熟悉Mysql、redis数据库，熟悉MongoDB者优先；5、有阅读开源框架源码者优先；6、有大型分布式系统开发经验者优先。联系人：李先生联系电话：15256555694邮箱地址：liheyi@chinasofti.com,互联网/电子商务 ,,大专,合肥,安徽省合肥市庐阳区长江中路黄山大厦副楼
硬件工程师（高薪，五险一金）,4千-6千,安徽中软软件有限公司,岗位职责：1、参与公司项目平台的硬件设计，根据设计需求设计硬件方案；2、硬件设计文档的编写。3、完成领导交办的其它任务。任职要求：1、自动化、通信、电子信息工程相关专业；2、熟悉嵌入式系统开发，熟练单片机系统设计；3、熟练数字电路、模拟电路设计；4、优秀的应届毕业生可以适当放宽要求。工作地址：合肥有5个项目部，就近分配联系人：杨小姐18355102021,互联网/电子商务 ,,大专,合肥,安徽省合肥市庐阳区长江中路黄山大厦副楼
实习生,2千-4千,芜湖市恒达电脑科技有限责任公司,1.计算机信息与技术专业。2.有过实践能力的学生优先。3.有志于从事软件开发的人员优先。4.能够随进听从公司安排进行出差。5.对网络推广有一定认识。6.愿接受新鲜的事物。并努力去钻研的人。,互联网/电子商务 ,,本科,芜湖,芜湖市镜湖区和平大厦8层
软件开发工程师,4千-6千,芜湖市恒达电脑科技有限责任公司,1.本科学历。2.计算机或相关信息技术专业。3.有信息软件开发工作经验者优先。4.有过医疗软件开发经验者优先录用。,互联网/电子商务 ,1-3年,本科,芜湖,芜湖市镜湖区和平大厦
BI工程师,6千-8千,惠国征信服务股份有限公司,"岗位职责：1、基于业务数据的统计分析2、项目的需求调研、数据分析、简单数据模型的设计3、ETL开发4、大数据平台的数据清洗工作任职要求：1、二年以上工作经验，熟悉数据分析工作和业务报表开发，有政府服务行业工作经验优先。2、熟练掌握一种及以上主流数据库软件，如Oracle、MySQL、SqlServer、DB2等。3、熟悉关系型数据库的体系结构，如存储结构、内存结构、优化器工作原理4、精通SQL和存储过程5、掌握一种以上ETL开发工具，如Kettle、DataStage,Informatica等。6、具备一定的编程经验，如Java、python等7、善于沟通，逻辑思维强，具备良好的团队合作精神8、对大数据相关技术如Hadoop、Spark有浓厚兴趣9、熟悉Hive、Impala语言框架优先",互联网/电子商务 ,1-3年,本科,芜湖,星隆国际写字楼A座17楼
高薪+程序员,4千-6千,合肥科威营销策划有限公司,"一、岗位工作内容:1..根据项目需求，能够独立按时完成网站开发任务。2.进行网站PHP程序设计与开发，参与项目的编程、模块测试工作。二、岗位要求1、熟悉PHP/AJAX/JQUERY/SEO等，熟悉TinkPHP开发框架优先2、精通Photoshop并熟练使用Flash、Illustrator等软件3、具有扎实的美术功底，有较强的制作能力与创新能力4、计算机、美术、设计或相关专业本科以上学历要求有开发经验1年以上5、精通HTML/CSS/Javascript等前端技术，习惯于手写符合W3C标准、兼容多种浏览器的前端页面代码，而不是依赖IDE6.有良好的程序构架设计以及编程习惯,要求结构清晰，命名规范，逻辑性强，代码冗余率低工作时间：早八点半晚六；上午08:30-12:00，下午：13:30-18:00，每天八小时的工作时间，履行国家规定节假日，享受年资、年假文化活动：健身中心活动+公司日常娱乐活动+生日会+元旦大抽奖+国内外旅游等等。",互联网/电子商务 ,,大专,合肥,合肥市高新区天波路天怡国际商务中心807
java软件工程师助理/软件开发程序员（双休五险一金）,4千-6千,合肥学码思教育科技有限公司,岗位职责：1.协助团队进行Java的相关应用设计及开发规划；2.协助团队撰写设计开发方案并参与项目实施过程中对客服部的技术支持；3.协助主管以及团队处理Java开发过程中技术问题；4.能够快速融入团队，积极、有效地开展工作。任职要求：1大专及以上学历，理工科优先，对计算机和互联网感兴趣2.具有良好的沟通组织能力，有责任心和团体意识，具备吃苦耐劳精神3.愿从基层做起，有极强的发展意识和上进心4.欢迎敢奋斗、想拼搏的广大应往届毕业生，自觉能定性较强者优先福利待遇：1、五险一金；2、项目提成，年终奖等；3、公司提供良好的发展平台，完善的培养体系和升迁机制；4、带薪休假（年假、婚假、丧假、病假、培训假）；5、签订正式劳动合同、享受国家规定的保险福利待遇；9:00~18:00，双休，法定节假日正常放假，春节带薪放假15日左右直接来电咨询电话：15255153244王经理（人事助理）在线QQ咨询（人力资源部）：QQ1944215320(加QQ时请备注姓名、年龄、手机号码、求职岗位),互联网/电子商务 ,,大专,合肥,合肥市包河区屯溪路239号富广大厦1507、1508室
软件开发/JAVA/php（可实习应届生）双休+五险一金,4千-6千,合肥麦中科技有限公司,"职位描述公司介绍收藏岗位职责：1、参与java/php/Android产品项目代码设计和编写。2、核实功能模块测试用例和功能模块自测。3、经验不限,面试通过后有老员工带领提供岗前培训4、可以考虑应届生任职要求：1、大学本科或以上学历，相关理工科专业，18-28周岁。2、热爱互联网，对互联网产品和技术有浓厚的兴趣，热衷于追求技术极致与创新。3、优秀的分析问题和解决问题的能力，勇于解决难题。4、强烈的上进心和求知欲，较强的学习能力和沟通能力，具备良好的团队合作精神。您将享有以下福利：1、工作时间：5天8小时，无需加班，周末双休；2、社保：医疗、生育、工伤、失业、养老保险及住房公积金；3、奖金：每月绩效奖金、项目奖金、年终奖金；一切靠实力吃饭；4、娱乐福利：每周末各类娱乐活动自由组合，专属生日趴；5、假期福利：享受国家规定的带薪年假、法定节假日。",互联网/电子商务 ,,大专,合肥,合肥市庐阳区市府广场天徽大厦C座7F
初级软件开发工程师,6千-8千,上海赛康美信息技术有限公司合肥分公司,"岗位职责：①应、往届计算机、信息、软件、电子技术、自动化、电子商务等相关专业及理工科的专、本科学生，有项目经验者优先；②对编程感兴趣，有志于在IT行业发展,会有项目经理先带着做项目；③有较强的自学能力和攻克技术难点的能力，有良好的沟通能力、积极主动性、条理性和逻辑思维能力；任职要求：①理工科、计算机（网络）、电子信息、软件工程、（电气）自动化、测控、生仪、机电等相关计算机专业；②有计算机语言者优先，如：C语言、C++、Java、.NET等；职业规划：Java程序员→软件开发工程师→高级架构师→技术经理（CTO）→首席执行官（CEO）；研发设计工程师→设计总监→需求经理；项目研发工程师→需求工程师→售前工程师→运营经理；",互联网/电子商务 ,,大专,合肥,安徽省合肥市蜀山区长江西路189号之心城A座
手机App软件测试实习生/双休,6千-8千,上海赛康美信息技术有限公司合肥分公司,岗位职责：1.计算机、通信、机械、电子自动化类相关专业优先；2.大专及以上学历具有上进心，了解计算机基础和操作，；3.做事严谨踏实，责任心强，善于学习总结以及分析、解决能力；4.思维活跃，有志于从事互联网行业相关工作；5.年龄18-30岁，欢迎转行，无经验可带教，超龄勿扰，请勿重复投递。岗位待遇：1.入职签订劳动合同、五险一金、三奖三补（三奖：年终奖、满勤奖、本岗位绩效奖；三补：通讯补助，通勤补助、伙食补助）2.国家法定节假日、周六日双休、带薪年假等3.待遇优厚，五险一金，双休，法定假日。4.薪酬=基本工资+绩效奖金+五险一金+餐补+房补,互联网/电子商务 ,,大专,合肥,安徽省合肥市蜀山区长江西路189号之心城A座
手机APP开发工程师（Java/安卓）,8千-1万,上海赛康美信息技术有限公司合肥分公司,岗位要求:1.大专及以上学历，理工科相关专业，20-30岁之间;2.工作积极主动，学习能力强，具有较强的执行力和团队协作精神。公司福利：1、薪酬体系：薪酬=基本工资+绩效+项目提成+生活补贴（均薪7K）；2、健全的福利制度：五险一金（养老、医疗、事业、生育、工伤）、餐补、通讯补贴等；3、员工活动：每年必备集体旅行，年会（各种福利发放），公司出资定期进行团队建设；4、节假日福利：春节，端午节，中秋节、春节、结婚礼金，生日慰问，夏日高温福利等。5、年终奖：年终双薪绝对不是问题，更有年终分红、期权等着你们来拿。6、培训：不仅有外部专业大师丰富你的知识，更有内部交流分享机制；7、晋升机制：在这不看你的年纪，不论你的专业，只要你勤奋好学，积极上进，一切职位皆有可能！,互联网/电子商务 ,,大专,合肥,安徽省合肥市蜀山区长江西路189号之心城A座
手机软件开发工程师实习生+双休不加班,4千-6千,安徽恒娱网络科技有限公司,任职要求：1.大专及以上学历，理工科优先，对计算机和互联网感兴趣2.熟悉ios或android系统及开发环境.3.负责Android或IOS系统平台上的客户端软件的产品开发与维护.4.根据产品需求完成架构和模块设计、编码、测试工作；5.能按照项目计划，按时提交高质量的代码，完成开发任务；6.愿从基层做起，有极强的发展意识和上进心薪资待遇：1、薪酬=基本工资+绩效奖金+五险一金+餐补+房补（4k-6k）优秀者面谈2、逢年过节发放节日礼品，聚餐等；3、按季度组织省外出旅游等；4、定期体检等；5、按季度评比出优秀员工进行培养和加薪（必要时晋升）；6、公司工作环境优雅、氛围好，同事关系融洽，生日派对、聚餐等活动丰富；7、公司注重员工培养，给予晋升机会：内部转职（横向发展）、纵向提升8、高额的年终奖金，每位员工都会有年终奖金，服务公司时间越长，年终奖金会越高，逐年递增直接来电咨询电话：17095739039廖经理在线QQ咨询（人力资源部）：QQ3422750881(加QQ时请备注姓名、年龄、手机号码、求职岗位)工作时间：9:00-18:00（午休两小时，工作更高效哦！！）周末双休（放松两天补充能量吧！）地址：合肥市明珠广场经开区莲花路与石门路交口819号莲花电子产业园A座409室7.欢迎敢奋斗、想拼搏的广大应往届毕业生，自觉能定性较强者优先,互联网/电子商务 ,,大专,合肥,安徽恒娱网络科技有限公司
